Date of Inventory Valuation,Time of Inventory Valuation,Date Inventory Received,Time Inventory Received,Invoice ID,Invoice Line #,State Tracking ID,Batch,Receiving License,Product Type,Subtype,Brand,Product Name,Classification,Tier,Available,Reserved,Packed & Ready,Unit Cost,Amount,Unit of Measure,Total Cost,Unit Price,Potential Gross Sales,Location,Date Last Received,Time Last Received,Packaged Date,External Invoice ID,Manifest #,Harvest Batch,Production Batch #,Attributes,Product Barcodes,Inventory Barcodes,Distributor,Distributor License,Harvest Date,Manufacture Date,Expiration Date,Lab Testing State,Total Mg THC,Total Mg CBD,Size,Extraction Method,External ID,Inventory Type,Alpha Bisabolol Lab Result,Alpha Humulene Lab Result,Alpha Pinene Lab Result,Beta Caryophyllene Lab Result,Beta Myrcene Lab Result,Beta Pinene Lab Result,Caryophyllene Lab Result,Cbd Lab Result,Cbda Lab Result,Cbg Lab Result,Cbn Lab Result,Eucalyptol Lab Result,Limonene Lab Result,Linalool Lab Result,Thc Lab Result,Thca Lab Result
"07/27/2025","08:13 AM","07/21/2025","12:17:40","3cfbb024-6d5d-4353-8482-74e257c82dc8","703e36d1-21e2-428d-8bdd-6da113d3b4d6","1A411030000238D000090362","4XBL4","RE000727","PREROLL","FLOWER","PETE'S FARMSTAND","PETE'S FARMSTAND 1G LEMON CHERRY GELATO PREROLL","HYBRID","","147.000000","0.000000","0.000000","5.100000","1","GRAMS","749.700000000000","12.0","1764.0","A. LIVE ADULT USE PRODUCTS","07/21/2025","12:27:03","07/18/2025","# 4824","0001103589","","","RELAXED,EUPHORIC,PETE'S FARMSTAND,EVERYDAY STEALS,1G,CITRUS,FLORAL,CHERRY","","Ac7","GARDEN GREENS NJ","mc000000001","","","01/07/2026","","","","1 G","","a6c4b4f1-17d6-4507-bbf0-f9c51da90118","ADULT",,0.09 %,0.04 %,0.36 %,0.38 %,0.07 %,,,,0.37 %,,,0.42 %,,27.26 %,30.42 %
"07/27/2025","08:13 AM","06/26/2025","13:18:11","b83271a3-4e21-441d-9051-566b27089a9c","460a0e56-7e66-4af4-8b50-419d774bddc4","1A411030000238D000086509","OK1KV","RE000727","PREROLL","FLOWER","PETE'S FARMSTAND","PETE'S FARMSTAND 1G PALOMA SPRITZ PREROLL","HYBRID","","8.000000","0.000000","0.000000","5.100000","1","GRAMS","40.800000000000","12.0","96.0","A. LIVE ADULT USE PRODUCTS","06/26/2025","13:20:52","06/25/2025","# 4589","0001088843","","","RELAXED,UPLIFTING,APPETITE STIMULATION,EVERYDAY STEALS","","XTa","GARDEN GREENS NJ","mc000000001","","","12/23/2025","","","","1 G","","c52da8ca-ae20-43fe-905b-cddc690ba349","ADULT",0.03 %,0.13 %,,0.38 %,0.92 %,0.01 %,,,,,0.12 %,,0.05 %,,31.07 %,34.14 %
"07/27/2025","08:13 AM","06/18/2025","15:07:01","a9aab693-4a37-4c90-9dbf-76ed140b2c65","be0bfa18-2199-4d07-a55d-ee69dec21d00","1A411030000206D000043973","3Z2WM","RE000727","PREROLL","FLOWER","FERNWAY","FERNWAY MANGO 1G PREROLL","HYBRID","","7.000000","0.000000","0.000000","7.200000","1","GRAMS","50.400000000000","16.0","112.0","A. LIVE ADULT USE PRODUCTS","06/18/2025","15:16:08","06/17/2025","# 016623","0001082621","","","TOP SHELF","","6Ll","FERNWAY GARDEN STATE LLC","M000074","","","11/24/2025","","","","1 G","","c674437a-7058-4877-a3c5-ff35f5b83dde","ADULT",0.07 %,0.27 %,0.01 %,1.03 %,0.49 %,0.04 %,,,,0.44 %,,,0.3 %,,29.36 %,31.32 %
"07/27/2025","08:13 AM","06/18/2025","12:21:24","e6a659ff-60eb-4cf8-964e-66d5c376b695","8f0de9ca-3285-4b23-8d9f-0f8784bdbd95","1A4110300000002000155946","AA44Q","RE000727","FLOWER","PRE-PACK","BLACK BUDDHA","BLACK BUDDHA 3.5G DREAM 100 RACKZ FLOWER","INDICA","","3.000000","0.000000","0.000000","20.250000","3.5","GRAMS","60.750000000000","45.0","135.0","A. LIVE ADULT USE PRODUCTS","06/18/2025","12:24:31","06/04/2025","# 998863","0001079352","","","CEREBRAL,BODY HIGH,MOOD ENHANCING,SWEET SPOT,CREAMY,EARTHY,NUTTY","","urz","ASCEND NEW JERSEY","9292020","","","12/04/2025","","","","3.5 G","","85b60136-ac55-44ec-8175-f242d3fd3686","ADULT",,0.07 %,0.18 %,0.34 %,0.12 %,0.11 %,,,,0.63 %,,,0.86 %,,28.51 %,31.78 %
"07/27/2025","08:13 AM","04/04/2025","21:12:38","5d00e9de-6cc9-481e-ab08-9f62a5f9a598","824a0e38-a83f-4ee3-8f02-fc438d6596dc","1A4110300006339000017685","2LN6J","RE000727","EDIBLE","GUMMY","WYLD","WYLD 10MG 10PK 20:1 STRAWBERRY CBD:THC GUMMIES","HYBRID","","8.000000","0.000000","0.000000","11.000000","10","MILLIGRAMS","88.000000000000","22.0","176.0","LAST CALL ADULT USE","04/05/2025","11:52:27","02/25/2025","#000437 (AU)","#10333635","","","LOW THC,CALM PSYCHOACTIVITY,WELLNESS SUPPORT,CALM,CBD:THC,STRAWBERRY,GUMMY,EDIBLE,10MG 10PK,RATIO,WYLD,20:1,STRAWBERRY","","0ur","WYLD","M000117","","","08/04/2025","","10.0","200.0","10 MG","","5bc7b882-b2de-48f0-88d5-e5096f87cabc","ADULT",
"07/27/2025","08:13 AM","07/02/2025","14:45:31","bc834479-a120-4818-9d16-7f00152740ca","2f5560fe-966d-4471-9e3a-b0a2448a0b19","1A4110300001CE9000224716","IFCQO","RE000727","EDIBLE","GUMMY","INCREDIBLES","INCREDIBLES 100MG 10PK WATERMELON SMASH GUMMIES","","","5.000000","0.000000","0.000000","8.000000","100","MILLIGRAMS","40.000000000000","35.0","175.0","A. LIVE ADULT USE PRODUCTS","07/02/2025","15:05:51","07/01/2025","# 213213","0001091753","","","GUMMY","","bwx","GREEN THUMB INDUSTRIES","","","","09/21/2025","","100.0","","100 MG","","35be2c01-8255-411c-8890-b8dafa76bcf5","ADULT",
"07/27/2025","08:13 AM","06/18/2025","15:07:01","a9aab693-4a37-4c90-9dbf-76ed140b2c65","7e684728-6b4a-424f-a361-ba373c984661","1A411030000206D000043958","P9CP5","RE000727","CARTRIDGE","510 THREAD","FERNWAY","FERNWAY ALPINE STRAWBERRY 1G CARTRIDGE","SATIVA","","5.000000","0.000000","0.000000","24.000000","1","GRAMS","120.000000000000","60.0","300.0","A. LIVE ADULT USE PRODUCTS","06/18/2025","15:16:08","06/17/2025","# 016623","0001082621","","","CARTRIDGE","","GfJ","FERNWAY GARDEN STATE LLC","M000074","","","11/22/2025","","","","1 G","","38c1eb4f-45e3-4d69-9596-4cf7fd0f29df","ADULT",0.023 %,,,0.0305 %,0.0242 %,,,0.1288 %,,3.045 %,0.5948 %,,2.5 %,,84.42 %,
"07/27/2025","08:13 AM","06/18/2025","15:07:01","a9aab693-4a37-4c90-9dbf-76ed140b2c65","90670b70-c2ee-4dd3-8967-f5eb058b577b","1A411030000206D000043962","EJ3DV","RE000727","PREROLL","FLOWER","FERNWAY","FERNWAY BERRY HAZE 1G PREROLL","INDICA","","38.000000","0.000000","0.000000","7.200000","1","GRAMS","273.600000000000","16.0","608.0","A. LIVE ADULT USE PRODUCTS","06/18/2025","15:16:08","06/17/2025","# 016623","0001082621","","","TOP SHELF","","5tM","FERNWAY GARDEN STATE LLC","M000074","","","11/20/2025","","","","1 G","","b15f5854-fc9b-44ab-b743-5daf5f0531f4","ADULT",0.14 %,0.24 %,0.03 %,1.01 %,0.5 %,0.05 %,,,,0.34 %,,,0.48 %,,27.65 %,30.78 %
"07/27/2025","08:13 AM","06/18/2025","15:07:01","a9aab693-4a37-4c90-9dbf-76ed140b2c65","dc31fa1a-2e53-42bc-8524-c2fece3a2ef5","1A411030000206D000043977","INTFF","RE000727","PREROLL","FLOWER","FERNWAY","FERNWAY 1G SATIVA PREROLL","SATIVA","","4.000000","0.000000","0.000000","7.200000","1","GRAMS","28.800000000000","16.0","64.0","A. LIVE ADULT USE PRODUCTS","06/18/2025","15:16:08","06/17/2025","# 016623","0001082621","","","TOP SHELF","","QNX","FERNWAY GARDEN STATE LLC","M000074","","","11/17/2025","","","","1 G","","48beea3d-3520-4f5f-8617-80988a774737","ADULT",,0.16 %,,0.41 %,0.12 %,0.01 %,,,,0.29 %,,,0.12 %,,31.13 %,33.55 %
"07/27/2025","08:13 AM","06/25/2025","12:18:10","3a5c20d4-4432-4398-adb2-980be12823c0","88b1c52a-7ceb-46c7-bf00-8cd737341ec4","1A4110300007595000010000","XQG88","RE000727","CARTRIDGE","ALL-IN-ONE","ROSIN KING OF JERSEY","ROSIN KING OF JERSEY 0.5G ZEPPOLI LIVE ROSIN DISPOSABLE","INDICA","","3.000000","1.000000","0.000000","13.046190","0.5","GRAMS","52.184760000000","70.0","280.0","A. LIVE ADULT USE PRODUCTS","06/25/2025","12:40:29","06/18/2025","#250384","0001087144","","","DISPOSABLE,LIVE ROSIN","","Vv1","GLASS MEADOWS MANUFACTURING","N000245","","","09/06/2025","","","","0.5 G","","40c1108e-c116-4980-9b89-14e8510ebb5e","ADULT",0.29 %,0.74 %,0.33 %,2.3 %,0.46 %,0.06 %,,,,0.85 %,,,0.99 %,,70.15 %,37.48 %
